product_code,product_name,brand_name,category_name,color_group,price_range,sale_price,available_size_text,final_score
TNJA5F107N2,FrayBoy Wool Blended Gold Button Blazer (Navy),티엔지티,자켓,네이비,10만~50만원,150480,"95,100,105",4612.0
TNJA4F101BK,블랙 오버핏 노치드 싱글 트윌 셋업 자켓,티엔지티,자켓,블랙,10만원 이하,69970,"95,105,110",3660.5
TNJA5E201N2,Hard Twist Sports Set-Up Jacket (Navy),티엔지티,자켓,네이비,10만원 이하,87570,"95,100,105,110",3576.0
ARJA5B312BK,블랙《Woolly Sucker》셋업 자켓,알레그리,자켓,블랙,10만~50만원,442890,"90,95,100,105,110",3536.0
TNJA5E101BK,Comfort Cotton Set-Up Jacket (Black),티엔지티,자켓,블랙,10만~50만원,100170,"95,100,105,110",3508.5
TNJA6E100BK,High Wool Blended Comfort Jacket (Black),티엔지티,자켓,블랙,10만~50만원,161100,"95,100,105,110",2885.5
TNJA6E100N2,High Wool Blended Comfort Jacket (Navy),티엔지티,자켓,네이비,10만~50만원,161100,"95,100,105,110",2878.5
TNJA6E104BK,Pin-Stripe Structure Single Jacket (Black),티엔지티,자켓,블랙,10만~50만원,160550,"085,95,100,105,110",2398.0
TNJA6E109BK,Wool Blended Comfort Jacket (Black),티엔지티,자켓,블랙,10만~50만원,143100,"95,100,105,110",1691.0
TNJA5F106BK,Denim-like Jacket (Black Indigo),티엔지티,자켓,블랙,10만~50만원,136930,"95,100,105",1677.0
