rank,set_type,anchor_product_code,anchor_product_name,anchor_role,bottom_product_code,bottom_product_name,top_product_code,top_product_name,outer_product_code,outer_product_name,bottom_top_score,bottom_outer_score,top_outer_base_score,top_outer_season_score,top_outer_score,top_outer_season_distance,top_outer_season_reason,triplet_season_penalty,set_score,top_reason_text,outer_reason_text,set_reason
1,3piece,ARSH5C202CG,차콜그레이《Cozy Flannel》세미오버핏 셔츠,top,TNPA4F100G2,그레이 『NoCut』 테이퍼드핏 히든밴딩 노턱 슬랙스,ARSH5C202CG,차콜그레이《Cozy Flannel》세미오버핏 셔츠,TNJA6E100CG,High Wool Blend Comfort Jacket (Charcoal),87.1291,63.1957,58.97,100.0,67.176,0.0,top-outer 시즌감이 매우 유사함,8.0,64.5003,,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 기존 추천 점수도 높은 편",그레이 『NoCut』 테이퍼드핏 히든밴딩 노턱 슬랙스 + High Wool Blend Comfort Jacket (Charcoal) 3피스 조합 / top-outer 시즌감이 매우 유사함
2,3piece,ARSH5C202CG,차콜그레이《Cozy Flannel》세미오버핏 셔츠,top,TNPA4F100G2,그레이 『NoCut』 테이퍼드핏 히든밴딩 노턱 슬랙스,ARSH5C202CG,차콜그레이《Cozy Flannel》세미오버핏 셔츠,TNJA5F202G2,Heavy Wool Oversized Blazer (Grey),87.1291,63.4157,60.25,55.0,59.2,0.375,top-outer 시즌감 차이가 약간 있음,8.0,61.9149,,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 기존 추천 점수도 높은 편",그레이 『NoCut』 테이퍼드핏 히든밴딩 노턱 슬랙스 + Heavy Wool Oversized Blazer (Grey) 3피스 조합 / top-outer 시즌감 차이가 약간 있음
3,3piece,ARSH5C202CG,차콜그레이《Cozy Flannel》세미오버핏 셔츠,top,TNPA4F100G2,그레이 『NoCut』 테이퍼드핏 히든밴딩 노턱 슬랙스,ARSH5C202CG,차콜그레이《Cozy Flannel》세미오버핏 셔츠,TNCO4F101G2,멜란지그레이 『Cashmere-Blended』 오버핏 3버튼 테일러드 코트,87.1291,62.4778,60.25,55.0,59.2,0.375,top-outer 시즌감 차이가 약간 있음,8.0,61.6023,,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음",그레이 『NoCut』 테이퍼드핏 히든밴딩 노턱 슬랙스 + 멜란지그레이 『Cashmere-Blended』 오버핏 3버튼 테일러드 코트 3피스 조합 / top-outer 시즌감 차이가 약간 있음
4,3piece,ARSH5C202CG,차콜그레이《Cozy Flannel》세미오버핏 셔츠,top,TNPA4F100G2,그레이 『NoCut』 테이퍼드핏 히든밴딩 노턱 슬랙스,ARSH5C202CG,차콜그레이《Cozy Flannel》세미오버핏 셔츠,TNJA5F202W2,Heavy Wool Oversized Blazer (Brown),87.1291,61.7099,58.99,55.0,58.192,0.375,top-outer 시즌감 차이가 약간 있음,8.0,61.0103,,"무드 조화가 좋음, 포멀도 차이가 크지 않음, 기존 추천 점수도 높은 편",그레이 『NoCut』 테이퍼드핏 히든밴딩 노턱 슬랙스 + Heavy Wool Oversized Blazer (Brown) 3피스 조합 / top-outer 시즌감 차이가 약간 있음
5,3piece,ARSH5C202CG,차콜그레이《Cozy Flannel》세미오버핏 셔츠,top,ARPA5B215G1,라이트그레이《ElaCool》슬림핏 슬랙스,ARSH5C202CG,차콜그레이《Cozy Flannel》세미오버핏 셔츠,TNJA6E100CG,High Wool Blend Comfort Jacket (Charcoal),86.4554,62.97,58.97,100.0,67.176,0.0,top-outer 시즌감이 매우 유사함,15.0,57.2005,,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 기존 추천 점수도 높은 편",라이트그레이《ElaCool》슬림핏 슬랙스 + High Wool Blend Comfort Jacket (Charcoal) 3피스 조합 / top-outer 시즌감이 매우 유사함
6,3piece,ARSH5C202CG,차콜그레이《Cozy Flannel》세미오버핏 셔츠,top,HZPA6B332G2,[TAPERED] 그레이 여름 치노 팬츠,ARSH5C202CG,차콜그레이《Cozy Flannel》세미오버핏 셔츠,TNJA6E100CG,High Wool Blend Comfort Jacket (Charcoal),86.2829,62.61,58.97,100.0,67.176,0.0,top-outer 시즌감이 매우 유사함,15.0,57.023,,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 기존 추천 점수도 높은 편",[TAPERED] 그레이 여름 치노 팬츠 + High Wool Blend Comfort Jacket (Charcoal) 3피스 조합 / top-outer 시즌감이 매우 유사함
7,3piece,ARSH5C202CG,차콜그레이《Cozy Flannel》세미오버핏 셔츠,top,HZPA4D461CG,[클리어런스][STRAIGHT] 차콜그레이 투톤 조직 기모 슬랙스,ARSH5C202CG,차콜그레이《Cozy Flannel》세미오버핏 셔츠,TNJA6E100CG,High Wool Blend Comfort Jacket (Charcoal),85.4882,62.17,58.97,100.0,67.176,0.0,top-outer 시즌감이 매우 유사함,15.0,56.6114,,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 기존 추천 점수도 높은 편",[클리어런스][STRAIGHT] 차콜그레이 투톤 조직 기모 슬랙스 + High Wool Blend Comfort Jacket (Charcoal) 3피스 조합 / top-outer 시즌감이 매우 유사함
8,3piece,ARSH5C202CG,차콜그레이《Cozy Flannel》세미오버핏 셔츠,top,DMPA5D302G3,다크그레이 본딩 치노 팬츠,ARSH5C202CG,차콜그레이《Cozy Flannel》세미오버핏 셔츠,TNJA6E100CG,High Wool Blend Comfort Jacket (Charcoal),85.9224,61.3703,58.97,100.0,67.176,0.0,top-outer 시즌감이 매우 유사함,15.0,56.4896,,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 기존 추천 점수도 높은 편",다크그레이 본딩 치노 팬츠 + High Wool Blend Comfort Jacket (Charcoal) 3피스 조합 / top-outer 시즌감이 매우 유사함
9,3piece,ARSH5C202CG,차콜그레이《Cozy Flannel》세미오버핏 셔츠,top,TNPA4F100G2,그레이 『NoCut』 테이퍼드핏 히든밴딩 노턱 슬랙스,ARSH5C202CG,차콜그레이《Cozy Flannel》세미오버핏 셔츠,WHCO3D462G2,[클리어런스][스테디셀러]그레이 탈착내피 하프코트,87.1291,61.8921,58.81,55.0,58.048,0.5,top-outer 시즌감 차이가 약간 있음,15.0,54.0231,,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 기존 추천 점수도 높은 편",그레이 『NoCut』 테이퍼드핏 히든밴딩 노턱 슬랙스 + [클리어런스][스테디셀러]그레이 탈착내피 하프코트 3피스 조합 / top-outer 시즌감 차이가 약간 있음
10,3piece,ARSH5C202CG,차콜그레이《Cozy Flannel》세미오버핏 셔츠,top,HZPA4D461CG,[클리어런스][STRAIGHT] 차콜그레이 투톤 조직 기모 슬랙스,ARSH5C202CG,차콜그레이《Cozy Flannel》세미오버핏 셔츠,TNJA5F202G2,Heavy Wool Oversized Blazer (Grey),85.4882,62.17,60.25,55.0,59.2,0.375,top-outer 시즌감 차이가 약간 있음,15.0,53.9527,,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 기존 추천 점수도 높은 편",[클리어런스][STRAIGHT] 차콜그레이 투톤 조직 기모 슬랙스 + Heavy Wool Oversized Blazer (Grey) 3피스 조합 / top-outer 시즌감 차이가 약간 있음
