anchor_product_code,anchor_product_name,anchor_role,recommended_role,rank,product_code,product_name,brand_name,item_role,category_name,color_group,fit_type,top_subtype,bottom_subtype,sleeve_length_type,pants_length_type,display_mood_tag,final_score,styling_score,mood_score,color_score,formality_score,fit_score,brand_score,age_score,popularity_score,role_compatibility_score,season_profile_label,season_warm_weight,season_mid_weight,season_cold_weight,season_temperature_score,reason_text
JNTS5B201WT,[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠,top,bottom,1,IEPA5E101B3,워시드 다이얼 와이드 팬츠 오션 네이비,일꼬르소,bottom,팬츠,블루,wide,not_applicable,denim,not_applicable,long,casual+minimal,4039.5,87.8196,100.0,90.0,90.0,65.0,65.0,89.9735,80.4201,89.0,spring_summer,0.75,0.25,0.0,0.125,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 아이템 성격상 궁합이 좋음, 기존 추천 점수도 높은 편"
JNTS5B201WT,[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠,top,bottom,2,IEPA5E101B2,워시드 다이얼 와이드 데님 팬츠 블루,일꼬르소,bottom,팬츠,블루,wide,not_applicable,denim,not_applicable,long,casual+minimal,4036.0,87.8113,100.0,90.0,90.0,65.0,65.0,89.9735,80.3504,89.0,spring_summer,0.75,0.25,0.0,0.125,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 아이템 성격상 궁합이 좋음, 기존 추천 점수도 높은 편"
JNTS5B201WT,[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠,top,bottom,3,JNPA5B005B5,[BEST]원워시드 데님 스트링 밴딩팬츠,질스튜어트 뉴욕 남성,bottom,팬츠,블루,unknown,not_applicable,denim,not_applicable,long,business_casual+casual,3714.0,87.7028,100.0,90.0,88.0,60.0,85.0,100.0,73.9399,89.0,spring_summer,0.75,0.25,0.0,0.125,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 아이템 성격상 궁합이 좋음, 동일 브랜드 조합으로 통일감이 있음"
JNTS5B201WT,[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠,top,bottom,4,JNPA5B005B1,[BEST][컬러추가] 스카이블루워싱 데님 스트링 밴딩팬츠,질스튜어트 뉴욕 남성,bottom,팬츠,블루,unknown,not_applicable,denim,not_applicable,long,business_casual+casual,3714.0,87.7028,100.0,90.0,88.0,60.0,85.0,100.0,73.9399,89.0,summer,1.0,0.0,0.0,0.0,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 아이템 성격상 궁합이 좋음, 동일 브랜드 조합으로 통일감이 있음"
JNTS5B201WT,[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠,top,bottom,5,IEPA5E406B2,카펜터 데님 반바지 블루,일꼬르소,bottom,팬츠,블루,unknown,not_applicable,denim_shorts,not_applicable,shorts,casual+minimal,3701.0,87.6909,100.0,90.0,90.0,60.0,65.0,89.9735,73.6811,95.0,spring_summer,0.75,0.25,0.0,0.125,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 아이템 성격상 궁합이 좋음"
JNTS5B201WT,[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠,top,outer,1,TNJU6E107BK,Yoyogi Pleats Hooded Zip-Up (Black),요요기 플리츠 바이 티엔지티,outer,점퍼,블랙,unknown,hoodie,not_applicable,not_applicable,not_applicable,casual,4746.0,85.8082,100.0,90.0,96.0,60.0,65.0,100.0,94.4854,65.0,spring,0.0,1.0,0.0,0.5,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 기존 추천 점수도 높은 편"
JNTS5B201WT,[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠,top,outer,2,IEJU6E102BK,숄 플라이트 MA-1 자켓 블랙,일꼬르소,outer,점퍼,블랙,unknown,jumper,not_applicable,not_applicable,not_applicable,casual+minimal,4570.0,84.847,100.0,90.0,94.0,60.0,65.0,89.9735,90.9815,65.0,spring_summer,0.75,0.25,0.0,0.125,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 기존 추천 점수도 높은 편"
JNTS5B201WT,[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠,top,outer,3,TNJU5E104K2,Washed Cotton Swing Top Blouson (Khaki),티엔지티,outer,점퍼,그린/카키,unknown,jumper,not_applicable,not_applicable,not_applicable,casual+minimal,4376.0,84.6843,100.0,90.0,94.0,60.0,65.0,100.0,87.1193,65.0,spring,0.0,1.0,0.0,0.5,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 기존 추천 점수도 높은 편"
JNTS5B201WT,[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠,top,outer,4,TNJU6E107N2,Yoyogi Pleats Hooded Zip-Up (Navy),요요기 플리츠 바이 티엔지티,outer,점퍼,네이비,unknown,hoodie,not_applicable,not_applicable,not_applicable,casual,4270.0,84.6711,100.0,90.0,96.0,60.0,65.0,100.0,85.009,65.0,spring,0.0,1.0,0.0,0.5,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 기존 추천 점수도 높은 편"
JNTS5B201WT,[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠,top,outer,5,TNJU5E104BK,Washed Cotton Swing Top Blouson (Black),티엔지티,outer,점퍼,블랙,unknown,jumper,not_applicable,not_applicable,not_applicable,casual+minimal,4368.5,84.6664,100.0,90.0,94.0,60.0,65.0,100.0,86.9699,65.0,spring,0.0,1.0,0.0,0.5,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 기존 추천 점수도 높은 편"
